objid,ra,dec,u,g,r,i,z,redshift
1237648702972166201,196.485669852947,-1.22772236411339,18.92993,17.81862,17.4717,17.28546,17.19509,0.0002869671
1237648702972166254,196.418948848338,-1.1163871363031,20.19561,18.98364,18.88089,18.79688,18.83876,0.000161334
1237648702972166411,196.42646016191,-1.08575628693114,21.18121,20.07845,20.07223,20.14668,19.90544,-0.0001235609
1237648702972166411,196.42646016191,-1.08575628693114,21.18121,20.07845,20.07223,20.14668,19.90544,-0.0001041867
1237648702972166411,196.42646016191,-1.08575628693114,21.18121,20.07845,20.07223,20.14668,19.90544,1.614345E-05
1237648702972166434,196.468100965566,-1.23122476287077,21.83803,20.67224,20.374,19.9945,19.77171,-0.0003754808
1237648702972166434,196.468100965566,-1.23122476287077,21.83803,20.67224,20.374,19.9945,19.77171,-0.0005432345
1237648702972166434,196.468100965566,-1.23122476287077,21.83803,20.67224,20.374,19.9945,19.77171,-0.0004002292
1237648702972166485,196.345121566001,-1.22359206838233,22.77516,21.79775,20.16507,19.32095,19.10285,0.474075
1237648702972166689,196.450867978082,-1.20566708721062,22.80123,21.1268,20.93759,20.63599,20.6108,0.0003695535
1237648702972166696,196.451425086297,-1.17596856198319,23.02935,21.15761,19.4404,18.59867,18.13936,0.4847409
1237648702972166739,196.476626430701,-1.20536894402244,23.44177,21.55562,19.96107,19.17291,18.65563,0.4371068
1237648702972166739,196.476626430701,-1.20536894402244,23.44177,21.55562,19.96107,19.17291,18.65563,0.437032
1237648702972166739,196.476626430701,-1.20536894402244,23.44177,21.55562,19.96107,19.17291,18.65563,0.4369965
1237648702972166771,196.486144374244,-1.1244936005138,25.43159,21.89672,20.27775,19.3996,19.17815,0.4396655
1237648702972231879,196.605502237912,-1.09996783394994,23.08558,20.0183,18.53898,17.89161,17.53471,0.2988561
1237648702972231879,196.605502237912,-1.09996783394994,23.08558,20.0183,18.53898,17.89161,17.53471,0.2988087
1237648702972231879,196.605502237912,-1.09996783394994,23.08558,20.0183,18.53898,17.89161,17.53471,0.2988429
1237648702972231933,196.556452188895,-1.07403894231266,21.66878,20.68279,20.25478,19.9818,19.56874,0.000320785
1237648702972231933,196.556452188895,-1.07403894231266,21.66878,20.68279,20.25478,19.9818,19.56874,0.0002658422
1237648702972231933,196.556452188895,-1.07403894231266,21.66878,20.68279,20.25478,19.9818,19.56874,0.0002019774
1237648702972232090,196.518347056884,-1.06961841885244,22.2716,21.37178,21.30725,20.99753,20.5095,0.000336613
1237648702972232116,196.533290931955,-1.14752405856545,22.77676,21.98784,20.31636,19.27263,18.65749,0.6343169
1237648702972232116,196.533290931955,-1.14752405856545,22.77676,21.98784,20.31636,19.27263,18.65749,0.6341339
1237648702972232116,196.533290931955,-1.14752405856545,22.77676,21.98784,20.31636,19.27263,18.65749,0.6339528
1237648702972232198,196.575097615851,-1.24576079163036,23.11281,21.70014,21.32051,20.75944,20.47627,0.0003825777
1237648702972232216,196.585380997473,-1.06758698297257,24.77012,21.72763,19.65332,18.8757,18.49834,0.4255288
1237648702972232252,196.592571007257,-1.14202661989794,24.50947,21.27519,19.80161,18.94684,18.42833,0.4914378
1237648702972232252,196.592571007257,-1.14202661989794,24.50947,21.27519,19.80161,18.94684,18.42833,0.4914519
1237648702972232252,196.592571007257,-1.14202661989794,24.50947,21.27519,19.80161,18.94684,18.42833,0.4914061
1237648702972232261,196.594403059207,-1.23439240371253,22.90912,21.80669,20.86857,20.0536,19.5823,0.5806576
1237648702972232261,196.594403059207,-1.23439240371253,22.90912,21.80669,20.86857,20.0536,19.5823,0.5795293
1237648702972232261,196.594403059207,-1.23439240371253,22.90912,21.80669,20.86857,20.0536,19.5823,0.5804988
1237648702972232455,196.575886282735,-1.20839208430689,24.30233,22.59276,20.97605,19.82984,19.25297,0.5812069
1237648702972297393,196.77353137845,-1.17683922584799,16.22864,15.0852,14.46472,14.17312,13.91586,0.01865457
1237648702972297432,196.715523386472,-1.21908885210741,21.85268,19.82466,18.20371,17.6565,17.30138,0.3094524
1237648702972297432,196.715523386472,-1.21908885210741,21.85268,19.82466,18.20371,17.6565,17.30138,0.3094576
1237648702972297432,196.715523386472,-1.21908885210741,21.85268,19.82466,18.20371,17.6565,17.30138,0.3096482
1237648702972297439,196.747859669185,-1.11496230083355,19.64462,18.21688,17.56463,17.22387,17.02611,0.08154684
1237648702972297542,196.762191775849,-1.10301954119469,19.71955,18.37153,17.73658,17.44432,17.19611,0.08183071
1237648702972297578,196.641983588571,-1.05148051624671,22.91217,21.41091,19.54791,18.90472,18.50779,0.3618085
1237648702972297578,196.641983588571,-1.05148051624671,22.91217,21.41091,19.54791,18.90472,18.50779,0.3619306
1237648702972362838,196.832322423742,-1.10494952226508,19.49601,17.77888,16.89775,16.46239,16.14923,0.0858928
1237648702972362870,196.871836914727,-1.05426114887622,18.47584,17.35002,16.7141,16.28406,16.05255,0.08515193
1237648702972362893,196.906777569178,-1.04900082735445,21.39698,19.92664,19.36363,19.18868,19.04313,0.0002908822
1237648702972362932,196.896195076763,-1.13202580679555,22.83401,19.67246,18.25688,17.68205,17.34019,0.2503774
1237648702972362932,196.896195076763,-1.13202580679555,22.83401,19.67246,18.25688,17.68205,17.34019,0.250484
1237648702972362932,196.896195076763,-1.13202580679555,22.83401,19.67246,18.25688,17.68205,17.34019,0.2505213
1237648702972363120,196.80190996273,-1.19404367835198,24.43772,22.18003,20.35276,19.42275,19.07722,0.4421372
1237648702972363120,196.80190996273,-1.19404367835198,24.43772,22.18003,20.35276,19.42275,19.07722,0.4418558
1237648702972363120,196.80190996273,-1.19404367835198,24.43772,22.18003,20.35276,19.42275,19.07722,0.4422025
1237648702972363304,196.890923592451,-1.05197472580592,24.05503,21.42526,19.96373,19.52235,19.05367,0.1908314
1237648702972363590,196.937773194808,-1.16739313071645,22.16834,21.88635,20.17642,19.01353,18.37342,0.6533726
1237648702972363590,196.937773194808,-1.16739313071645,22.16834,21.88635,20.17642,19.01353,18.37342,0.653186
1237648702972363590,196.937773194808,-1.16739313071645,22.16834,21.88635,20.17642,19.01353,18.37342,0.6538065
1237648702972428429,196.947447521119,-1.06510136990882,19.81093,17.96043,17.02221,16.61287,16.30746,0.08848357
1237648702972428492,197.047862898824,-1.24657364581222,19.00587,17.81961,17.20445,16.80983,16.60654,0.08504815
1237648702972428492,197.047862898824,-1.24657364581222,19.00587,17.81961,17.20445,16.80983,16.60654,0.08505948
1237648702972428492,197.047862898824,-1.24657364581222,19.00587,17.81961,17.20445,16.80983,16.60654,0.08503134
1237648702972429071,197.035325268563,-1.23913727960694,23.52819,23.56598,21.28323,20.02473,19.72794,0.636587
1237648702972429071,197.035325268563,-1.23913727960694,23.52819,23.56598,21.28323,20.02473,19.72794,0.6366618
1237648702972429071,197.035325268563,-1.23913727960694,23.52819,23.56598,21.28323,20.02473,19.72794,0.6373697
1237648702972429175,196.973756526308,-1.15308486880912,24.76331,25.76896,23.12049,19.92118,18.20401,-1.553772E-05
1237648702972429175,196.973756526308,-1.15308486880912,24.76331,25.76896,23.12049,19.92118,18.20401,-1.086547E-05
1237648702972429175,196.973756526308,-1.15308486880912,24.76331,25.76896,23.12049,19.92118,18.20401,0.0001358834
1237648702972493921,197.233737594336,-1.16758900314933,19.04497,18.16051,17.79134,17.65719,17.60881,0.000972644
1237648702972493921,197.233737594336,-1.16758900314933,19.04497,18.16051,17.79134,17.65719,17.60881,0.001049675
1237648702972493932,197.088526836641,-1.21883312722541,18.4452,16.90764,16.22432,15.88036,15.62404,0.117861
1237648702972493971,197.124101914458,-1.17953507676838,19.77363,18.30263,17.4244,17.00436,16.70448,0.1770929
1237648702972493979,197.154923368926,-1.25276310176751,19.52571,17.74521,16.76546,16.32036,15.99769,0.113106
1237648702972493979,197.154923368926,-1.25276310176751,19.52571,17.74521,16.76546,16.32036,15.99769,0.1131505
1237648702972493979,197.154923368926,-1.25276310176751,19.52571,17.74521,16.76546,16.32036,15.99769,0.1130972
1237648702972493984,197.158736293144,-1.15639335544579,19.72716,17.78865,16.96054,16.66262,16.48915,-0.0001335993
1237648702972493984,197.158736293144,-1.15639335544579,19.72716,17.78865,16.96054,16.66262,16.48915,-0.0001214312
1237648702972493991,197.161034449824,-1.21960864831514,19.37938,17.4155,16.3559,15.93132,15.57422,0.1130015
1237648702972494033,197.217745499696,-1.21131221669241,19.69426,17.63625,16.79233,16.50563,16.34142,7.960087E-05
1237648702972494033,197.217745499696,-1.21131221669241,19.69426,17.63625,16.79233,16.50563,16.34142,7.238414E-05
1237648702972494159,197.182515748169,-1.15835290973555,21.84736,20.53325,20.02551,19.7788,19.61259,0.0003861506
1237648702972494162,197.185991222226,-1.17537136930502,23.15174,22.49121,20.88437,19.99694,19.6512,0.4538223
1237648702972494162,197.185991222226,-1.17537136930502,23.15174,22.49121,20.88437,19.99694,19.6512,0.4539107
1237648702972559382,197.297895961499,-1.20934889355299,16.65257,15.7098,15.49615,15.42294,15.44083,4.086982E-05
1237648702972559384,197.308675193706,-1.20193101467046,19.0498,18.3845,18.10804,17.87833,17.80309,1.451206
1237648702972559386,197.310041344226,-1.11667711611604,17.09163,15.73196,15.22527,15.04325,14.9832,-0.0001491216
1237648702972559440,197.371121277897,-1.18281245638899,15.78534,14.84188,14.47688,14.3337,14.30313,-0.0003224554
1237648702972559440,197.371121277897,-1.18281245638899,15.78534,14.84188,14.47688,14.3337,14.30313,-0.0002996977
1237648702972559466,197.259153079043,-1.19711905098304,19.88977,18.84047,18.36766,18.17933,18.08265,0.0003745576
1237648702972559466,197.259153079043,-1.19711905098304,19.88977,18.84047,18.36766,18.17933,18.08265,0.0003702308
1237648702972559475,197.271117338021,-1.07775735374465,19.92257,17.50761,16.50246,16.14782,15.97068,4.993938E-05
1237646587175503182,85.9392277322484,0.375408327885918,24.50061,22.33742,20.86004,19.23489,18.29092,9.566391E-05
1237646587175503295,85.9710934258713,0.359303636928238,23.96774,22.22265,20.54683,19.26854,18.50834,-0.0001502093
1237646587175503295,85.9710934258713,0.359303636928238,23.96774,22.22265,20.54683,19.26854,18.50834,3.376895E-05
1237646587175503303,85.9729109313211,0.404957303849132,23.81194,22.02348,20.27763,19.00416,18.30201,5.162709E-05
1237646587175503303,85.9729109313211,0.404957303849132,23.81194,22.02348,20.27763,19.00416,18.30201,3.619798E-05
1237646587175503512,86.0440398626038,0.363033280294714,23.66386,21.44235,19.96777,19.26194,18.78011,0.000146451
1237646587175567393,86.0681093659,0.322716141940627,20.25157,18.8002,17.99653,17.66563,17.46643,6.831409
1237646587175568426,86.1662613990878,0.404535196092754,22.22061,19.78261,18.3945,17.73774,17.15811,0.1206641
1237646587175568433,86.1714872357283,0.241846350973195,23.81397,21.08947,19.23348,18.23505,17.64925,-3.783982E-06
1237646587175568438,86.1743208821266,0.288169867315539,22.55863,20.48786,19.55894,19.10798,18.84195,0.0001504203
1237646587175568458,86.1872858695776,0.269014315295695,23.68547,20.71624,19.18186,17.85264,17.13495,0.0001812858
1237646587175568458,86.1872858695776,0.269014315295695,23.68547,20.71624,19.18186,17.85264,17.13495,0.0001866189
1237646587175568510,86.144107126507,0.320828012953607,23.93047,21.87216,20.08407,18.65433,17.85166,7.878527E-05
1237646587175568510,86.144107126507,0.320828012953607,23.93047,21.87216,20.08407,18.65433,17.85166,7.003697E-05
1237646587175568755,86.1064329100908,0.310022576610627,23.04652,21.15069,19.68755,18.93389,18.31089,0.3454711
1237646587175568772,86.1134188652382,0.304452711248444,24.16073,22.02225,20.34216,19.11967,18.40646,-7.710369E-06
1237646587175568772,86.1134188652382,0.304452711248444,24.16073,22.02225,20.34216,19.11967,18.40646,0.0001448857
1237646587175633406,86.2615349660418,0.256023288327405,22.74366,19.92232,18.43532,17.23545,16.57985,-3.299073E-05
1237646587175633406,86.2615349660418,0.256023288327405,22.74366,19.92232,18.43532,17.23545,16.57985,-4.498422E-05
1237646587175633465,86.2883913850667,0.234009806949564,19.8797,18.34594,17.53673,17.15669,16.91611,0.0001465431
1237646587175633733,86.3132424305704,0.39305366595468,24.63164,22.11296,20.0122,18.64193,17.82671,1.457916E-05
1237646587175633733,86.3132424305704,0.39305366595468,24.63164,22.11296,20.0122,18.64193,17.82671,-2.576195E-05
1237646587175633808,86.2179258240874,0.321992385457541,21.84163,20.3924,19.63535,19.22149,19.09953,0.0001271344
1237646587175633938,86.2463700723451,0.400251792285194,24.35106,22.11944,20.3037,19.10398,18.4269,0.0002973525
1237646587175633938,86.2463700723451,0.400251792285194,24.35106,22.11944,20.3037,19.10398,18.4269,0.0001925361
1237646587175634148,86.3192853646283,0.333364699553525,24.67649,22.8217,20.67992,19.31088,18.4619,7.223168E-05
1237646587175634148,86.3192853646283,0.333364699553525,24.67649,22.8217,20.67992,19.31088,18.4619,0.0002169163
1237646587175634187,86.3331197842975,0.260676846113225,23.61534,22.89736,20.80227,18.81334,17.69087,9.980165E-05
1237646587175698538,86.3612696024083,0.266590526101008,21.79842,19.35334,18.01153,16.84269,16.19164,0.0001644518
1237646587175698603,86.4025075739271,0.386191804345899,22.48956,19.88562,17.9311,16.78775,15.98045,0.0001344341
1237646587175698603,86.4025075739271,0.386191804345899,22.48956,19.88562,17.9311,16.78775,15.98045,0.0001810035
1237646587175698713,86.475438409915,0.218956229011859,23.57304,20.20344,18.40826,17.55132,16.90395,0.0002081076
1237646587175698715,86.4807399259677,0.406431085343764,21.58409,18.81102,17.39306,16.22347,15.59782,0.0003740179
1237646587175698890,86.3816016366479,0.38477238203087,25.02658,22.12057,19.92333,18.67892,17.86789,-8.294307E-05
1237646587175699107,86.4253260156293,0.365390286164549,25.04223,22.28828,20.44892,19.41447,18.67152,4.047996
1237646587175699158,86.4591853982228,0.340131872828485,24.99569,22.35487,20.15486,19.057,18.21775,0.001024179
1237646587175699158,86.4591853982228,0.340131872828485,24.99569,22.35487,20.15486,19.057,18.21775,0.0001765516
1237646587175699191,86.4710393166682,0.367492879907154,25.33603,22.46432,20.3565,19.12495,18.36011,-0.004020306
1237646587175699229,86.5027442118711,0.301624549381999,24.19699,22.26999,20.3874,19.40802,18.70756,1.48966
1237646587175699229,86.5027442118711,0.301624549381999,24.19699,22.26999,20.3874,19.40802,18.70756,8.29499E-05
1237646587175699432,86.4766414518672,0.309936199267892,21.80662,21.30276,19.80096,18.65604,17.69506,6.984716
1237646587175764025,86.5284271867894,0.29738202410626,22.50948,19.98969,17.93554,16.73011,15.87877,0.0001783784
1237646587175764025,86.5284271867894,0.29738202410626,22.50948,19.98969,17.93554,16.73011,15.87877,0.0001199675
1237646587175764049,86.6130610415128,0.263784887356786,21.73027,19.35065,17.84483,16.2394,15.38888,3.67972E-05
1237646587175764049,86.6130610415128,0.263784887356786,21.73027,19.35065,17.84483,16.2394,15.38888,3.64594E-05
1237646587175764070,86.5692842932709,0.340547033984223,22.68819,20.93809,19.45111,18.00076,17.23729,0.0002901043
1237646587175764081,86.6203719590967,0.225313913601337,22.98707,21.95862,19.29803,17.47552,15.87559,0.000461051
1237646587175764087,86.6545758055183,0.328575246348715,23.13888,20.80398,19.35487,17.79135,16.95224,0.000223874
1237646587175764089,86.6600192217561,0.253220437280427,23.05198,21.63699,19.44228,17.07314,15.65888,0.000112025
1237646587175764094,86.5105826742218,0.291344817885391,22.8725,21.71457,19.97246,18.09763,16.72676,9.838161E-05
1237646587175764097,86.5228078771871,0.406981010276633,23.33988,21.11764,19.61424,18.00583,17.15178,7.301341E-05
1237646587175764101,86.5786637593998,0.29095421482265,23.95952,21.41365,19.85798,18.60317,17.9468,0.0001381383
1237646587175764101,86.5786637593998,0.29095421482265,23.95952,21.41365,19.85798,18.60317,17.9468,0.0001602721
1237646587175764161,86.5130415458928,0.260411157026761,24.90958,22.49853,20.25162,19.07471,18.25561,-6.15927E-05
1237646587175764161,86.5130415458928,0.260411157026761,24.90958,22.49853,20.25162,19.07471,18.25561,1.499575E-05
1237646587175764204,86.563917823375,0.228460018000784,24.0239,22.1985,20.30079,19.27073,18.46774,4.043373
1237646587175895138,86.8329520162069,0.270298834562662,23.77363,23.73782,20.57183,18.09648,16.42642,0.0002137255
1237646587175895138,86.8329520162069,0.270298834562662,23.77363,23.73782,20.57183,18.09648,16.42642,0.0001523731
1237646587175895226,86.8839192533993,0.418414868214805,23.85326,22.10107,20.19121,19.10686,18.32265,-0.002394743
1237646587175960682,87.0615709430908,0.235718751567021,21.70867,19.13113,17.74629,16.47267,15.77416,0.0001908026
1237646587175960682,87.0615709430908,0.235718751567021,21.70867,19.13113,17.74629,16.47267,15.77416,0.0001771954
1237646587175960783,87.0530485506039,0.333598162214927,22.7828,20.60978,19.15106,17.77294,16.98434,-8.274704E-06
1237646587175960789,87.0648140329885,0.30887270280722,23.85631,21.01041,19.00546,17.7781,16.84471,-0.0001018587
1237646587175960789,87.0648140329885,0.30887270280722,23.85631,21.01041,19.00546,17.7781,16.84471,-6.639699E-05
1237646587175960813,87.1034939095048,0.393817757317382,23.27868,20.84488,19.04355,18.02439,17.26205,0.9617671
1237646587175960823,86.9978080886199,0.357703015266769,25.245,21.58285,19.56374,18.30131,17.34281,-0.003548109
1237646587175960823,86.9978080886199,0.357703015266769,25.245,21.58285,19.56374,18.30131,17.34281,0.7411852
